review,rating,place_index
"Kiểu gà ăn cứ bị dầu . Cơm thì khô mà  , trên bàn lúc mình đến thì chưa dọn đồ ăn thấy bàn nào cũng có rác ngoài ra chỗ lấy tương, tương rơi nhiều chỗ mà cũng không dọn . Nhưng nv cũng khá nhiệt tình .",2,1
"đồ ăn ngon nhân viên với quản lí dễ thương lắm, thân thiện, hỗ trợ khách nhiệt tình 🥰",5,1
"Bạn nam áo trắng cashier tư. Vấn nhiều combo giá rẻ thích thật , hai bạn đều bắt phần ăn nhanh . Thời gian rảnh tôi sẽ ghé quài nhé",5,1
"Nhân viên dễ thương, tu van tot. Quan ly nhiet tinh, phuc vụ nhanh, đúng. Đồ ăn ngon.",5,1
"Nhân viên phục vụ nhanh, đồ ăn ngon!!",5,1
"Đươc nhan vien tu van combo 99k sieu re ; thich cach phuc vu hom nay",5,1
"Nhân viên thật tệ , thái độ , oder ko thèm đưa hoá đơn ,oder mà cứ lo dọn đưa thiếu món  không chịu làm món đợi lại hỏi rrrr mới chịu làm lạy thật sự",1,1
"Đồ ăn ngon, món mới cũng ngon, bánh trứng của kfc là đỉnh nhất, hương vị tuổi thơ. Bây giờ lớn rồi vẫn thích ăn",5,1
"Thức ăn ngon, quản lý dễ thương. Nhân viên nhiệt tình tư vấn tốt",5,1
"Nhân viên dễ thương, phục vụ tốt",5,1
"Dịch vụ đặt món ăn, chăm sóc khách hàng rất ổn. Bạn nhân viên Mỹ Hương rất nhiệt tình.",5,1
"Nv thân thiện , không gian bài xe rộng rãi thoáng. Menu phong phú sp nóng  giòn",5,1
"Món ngon, phục vụ tốt nè.",5,1
"Mua mang về phục vụ nhanh , đồ ăn ngon",5,1
"I love this place and the worker is so cute.I think this place should get 10 star instead of 5 star",5,1
"Đồ ăn ngon lắm nhaaa",5,1
"Nhân viên chu đáo, dễ thương, đồ ăn ngon",5,1
"Đồ ăn ngon nhân viên tuyệt vời",5,1
"hôm mình đi ăn có tiệc sinh nhật, các bạn khá năng động và đông nhưng nhân viên vẫn phục vụ nhanh chóng, hỗ trợ hết mình, trang trí sinh nhật cũng rất xinh",5,1
"Vì nhiều chi nhánh, gần nhà nên tiện đi lại bất kỳ lúc nào. nhưng gà không thể ngon bằng Jollibee được.",5,1
"Nhà hàng phục vụ tốt, đồ ăn ngon. Nhân viên nhiệt tình, sạch sẽ. Ok sẽ ghé lại.",5,1
"Nhân viên nhiệt tình tư vấn các chương trình khuyến mãi, món ăn phục vụ nhanh.",5,1
"Đồ Ăn ngon, nhân viên nhiệt tình đặc biệt là bé triều anh dễ thương quá nè",5,1
"Nhân viên luôn cười tươi với khách, nhiệt tình hỗ trợ, cảm giác được chào đón. Sẽ luôn ủng hộ ❤️",5,1
"Đồ ăn ngon. Nhân viên nhiệt tình, vui vẻ nha.",5,1
"không gian thoải mái, nhân viên dễ thương nhiệt tình chào khách. thức ăn nóng giòn, phục vụ nhanh chính xác. sẽ quay lại",5,1
"13/11/22 - 18h00 Hôm nay mình có mua đồ cụ thể là 2 bánh trứng ( 17k/1 cái ) . Nhân viên tư vấn mua 3 tặng 1 với giá 54k , mà mình thanh toán xong nhìn lên bảng Menu là 4 cái = 54k. Mình thì không có để ý nhưng vẫn đang không biết là khuyến mãi chỗ nào ? Nhân viên cũng không đưa hóa đơn lờ đi như đang rất bận rộn mặc dù không đông khách. Về bánh thì không được ngon , 2 bánh cũ - 2 bánh mới thì chưa chính.",2,1
"Gà nóng giòn, thời gian lên món lẹ . Nhân viên niềm nở . Sẽ quay lại đây khi có dịp .",5,1
"Mọi thuw rất tỏt nhà hàng rất OK sản phảm ngon giá cả hợp lý . Bài xe rất thoáng mat",5,1
"Cửa hàng to mà nhân viên làm việc thiếu chuyên nghiệp, quán hết món thì hủy và tắt app đi để tx chạy tới gọi khách hàng hủy!",1,1
"Trên cả sự tuyệt vời, món gà truyền thống rất đậm vị và ngon thơm, thớ thịt nóng hổi .trang trí đep",5,1
"Ban ao trang vui tinh ; cho xin inf ban ao trang duoc khong sốp",5,1
"Nhân viên dễ thương sạch sẽ đồ ăn ngon nóng",5,1
"Đồ ăn rất ngon mọi người nên thử 🤤",5,1
"Các quá ngon và chất lượng, đồ ăn nóng hổi",5,1
"Gà quá ngon , nhân viên phục vụ chu đáo",5,1
"Quán ngon dịch vụ tốt, xứng đáng mọi người ghé Trãi nghiệm thử ạ🌷",5,1
"Bạn quản lí nam phục vụ nhanh nhẹn , đồ ăn ngon",5,1
"Thái độ rất tốt, thân thiện nhiệt tình 10đ nha. Thích cái chị tư vấn cho mình rất dễ thương",5,1
"Nhà hàng có chị Quản lý quá ok, thân thiện , đồ ăn luôn mới , sẽ ghé nhà hàng dài dài 😍😍😍😍",5,1
"nhân viên dễ thương thức ăn ngon",5,1
"Thuc an ngon, nv nhiet tinh",5,1
"Ăn ngon, nhân viên vui vẻ nhiệt tình",5,1
"Đồ ăn nóng nhìn sạch sẽ quản lí nhân viên tươi cười dễ thương",5,1
